timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
27.3,47.671,9.51575,0,90,7.5,0,0,0,cruise,0,engine
27.4,47.671,9.51576,0,90,7.5,0,0,0,cruise,0,engine
27.5,47.671,9.51577,0,90,7.5,0,0,0,cruise,0,engine
27.6,47.671,9.51578,0,90,7.5,0,0,0,cruise,0,engine
27.7,47.671,9.51579,0,90,7.5,0,0,0,cruise,0,engine
27.8,47.671,9.5158,0,90,7.5,0,0,0,cruise,0,engine
27.9,47.671,9.51581,0,90,7.5,0,0,0,cruise,0,engine
28,47.671,9.51582,0,90,7.5,0,0,0,cruise,0,engine
28.1,47.671,9.51583,0,90,7.5,0,0,0,cruise,0,engine
28.2,47.671,9.51584,0,90,7.5,0,0,0,cruise,0,engine
28.3,47.671,9.51585,0,90,7.5,0,0,0,cruise,0,engine
28.4,47.671,9.51586,0,90,7.5,0,0,0,cruise,0,engine
28.5,47.671,9.51587,0,90,7.5,0,0,0,cruise,0,engine
28.6,47.671,9.51588,0,90,7.5,0,0,0,cruise,0,engine
28.7,47.671,9.51589,0,90,7.5,0,0,0,cruise,0,engine
28.8,47.671,9.5159,0,90,7.5,0,0,0,cruise,0,engine
28.9,47.671,9.51591,0,90,7.5,0,0,0,cruise,0,engine
29,47.671,9.51592,0,90,7.5,0,0,0,cruise,0,engine
29.1,47.671,9.51593,0,90,7.5,0,0,0,cruise,0,engine
29.2,47.671,9.51594,0,90,7.5,0,0,0,cruise,0,engine
29.3,47.671,9.51595,0,90,7.5,0,0,0,cruise,0,engine
29.4,47.671,9.51596,0,90,7.5,0,0,0,cruise,0,engine
29.5,47.671,9.51597,0,90,7.5,0,0,0,cruise,0,engine
29.6,47.671,9.51598,0,90,7.5,0,0,0,cruise,0,engine
29.7,47.671,9.51599,0,90,7.5,0,0,0,cruise,0,engine
29.8,47.671,9.516,0,90,7.5,0,0,0,cruise,0,engine
29.9,47.671,9.51601,0,90,7.5,0,0,0,cruise,0,engine
30,47.671,9.51602,0,90,7.5,0,0,0,cruise,0,engine
